Gene Symbol,Name of gene,Disease,Phenotype
ANKRD11,ankyrin repeat domain-containing protein 11,KBG syndrome,Ventricular septal defect; Atrial septal defect; Atrioventricular septal defect; Aortic stenosis; Mitral regurgitation; Mitral stenosis; Pulmonary stenosis; Hypoplastic left ventricle; Cleft mitral valve
CFC1,cripto FRL-1 cryptic family 1,"KBG syndrome, heterotaxy syndrome",Ventricular septal defect; Transposition of the great arteries; Double outlet right ventricle; Atrial septal defect; Hypoplastic left heart syndrome; Pulmonary atresia; Patent ductus arteriosus; Total anomalous pulmonary venous return; Atrioventricular canal defect; Tetralogy of Fallot; Truncus arteriosus
CHD7,chromodomain helicase DNA-binding protein 7,CHARGE syndrome,Cardiovascular malformations (unspecified); Tetralogy of Fallot; Ventricular septal defect; Atrial septal defect; Patent ductus arteriosus; Coarctation of the aorta; Atrioventricular canal defects (complete and partial); Double outlet right ventricle; Pulmonary atresia; Aortic stenosis; Hypoplastic left heart syndrome; Interrupted aortic arch; Truncus arteriosus; Aberrant supraclavicular artery; Hypoplasia of ascending aorta
CRELD1,cysteine-rich with EGF-like domains 1,Atrioventricular septal defect (AVSD),Atrioventricular septal defect (complete); Atrioventricular septal defect (partial); Atrial septal defect (primum type); Ventricular septal defect
DOCK6,dedicator of cytokinesis 6,Adams-Oliver syndrome,Ventricular septal defect; Atrial septal defect; Patent foramen ovale; Bicuspid aortic valve; Pulmonary hypertension; Patent ductus arteriosus; Right ventricular hypertrophy; Tetralogy of Fallot; Right pulmonary artery stenosis; Hypoplastic aortic arch; Hypoplastic vena cava; Absent left superior vena cava
FOXH1,forkhead box H1,Congenital heart defects,Tetralogy of Fallot; Transposition of the great arteries; Double outlet right ventricle; Atrioventricular canal defects; Interrupted aortic arch; Truncus arteriosus; Unspecified congenital heart defects
HRAS,"HRas proto-oncogene, GTPase",Costello syndrome,Hypertrophic cardiomyopathy; Pulmonic stenosis; Supraventricular tachycardia; Atrial septal defect; Ventricular septal defect; Bicuspid aortic valve; Atrial tachycardia; Ectopic atrial tachycardia; Prolongation of QT interval; Arrhythmias; Congenital heart defects (unspecified)
JAG1,jagged canonical Notch ligand 1,Alagille syndrome; Isolated congenital heart defects,Tetralogy of Fallot; Peripheral pulmonic stenosis; Pulmonic stenosis; Ventricular septal defect; Atrial septal defect; Pulmonary artery hypoplasia; Pulmonary valve stenosis; Pulmonary atresia; Absent pulmonary valve; Aortic dextroposition
KANSL1,KAT8 regulatory NSL complex unit 1,17q21.31 microdeletion syndrome (Koolen-De Vries Syndrome),Atrial septal defect; Ventricular septal defect; Aortic stenosis; Bicuspid aortic valve; Pulmonary stenosis; Peripheral cyanosis; Increased size of the left ventricle
KMT2A,lysine methyltransferase 2A (MLL),Wiedemann-Steiner syndrome,Atrial septal defect; Patent ductus arteriosus; Mitral valve prolapse
