Gene Symbol,Name of gene,Disease,Phenotype
NPHP3,nephrocystin-3,Nephronophthisis 3; Meckel-Gruber-like syndrome; Renal-hepatic-pancreatic dysplasia,Ventricular septal defect; Atrial septal defect; Patent ductus arteriosus; Aortic stenosis; Pulmonary valve stenosis; Persistent ductus arteriosus; Right ventricular hypertrophy; Dextrocardia (situs inversus); Heterotaxia
SMAD4,SMAD family member 4,Myhre syndrome,Aortic valve stenosis; Coarctation of the aorta; Patent ductus arteriosus; Ventricular septal defect; Pulmonary artery stenosis; Mitral valve stenosis; Restrictive cardiomyopathy; Pericardial effusion; Systemic hypertension
MED13L,Mediator complex subunit 13-like,MED13L haploinsufficiency syndrome; Intellectual disability with or without congenital heart defects,Transposition of the great arteries; Atrial septal defect; Ventricular septal defect; Tetralogy of Fallot; Pulmonary atresia; Supracardial total anomalous pulmonary venous connection; Coarctation of the aorta; Persistent foramen ovale; Abnormalities of the great arteries; Abnormalities of the pulmonary veins
SON,SON DNA binding protein,"Intellectual disability syndrome with brain malformations, epilepsy, and musculoskeletal abnormalities; Syndromic intellectual disability with congenital malformations (proposed as distinct SON-related disorder); Potential contribution to Braddock-Carey syndrome phenotype (21q22.11 microdeletion syndrome)",Heart defects (unspecified types); Atrial septal defect; Ventricular septal defect; Patent ductus arteriosus; Aortic valve regurgitation
ZEB2,Zinc finger E-box-binding homeobox 2,Mowat-Wilson syndrome (MWS; OMIM 235730); Syndromic Hirschsprung disease,Atrial septal defect; Ventricular septal defect; Patent ductus arteriosus; Pulmonary stenosis; Aortic stenosis; Patent foramen ovale; Aortic coarctation
SMARCA4,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4",Coffin-Siris syndrome,Atrial septal defect; Ventricular septal defect; Patent ductus arteriosus; Mitral atresia; Pulmonary atresia; Single right ventricle
KYNU,kynureninase,"Congenital NAD Deficiency Disorder; Kynureninase deficiency (associated with Catel-Manzke-like syndrome); Vertebral, Cardiac, Renal, and Limb defects syndrome type 2 (VCRL2)",Hypoplastic left heart syndrome; Tetralogy of Fallot; Atrial septal defect; Ventricular septal defect; Aortic hypoplasia; Mitral valve stenosis; Persistent left superior vena cava; Pulmonary stenosis; Complete atrioventricular canal; Patent ductus arteriosus; Anomalous origin of the left coronary artery from the pulmonary artery (ALCAPA)
PIGV,phosphatidylinositol glycan anchor biosynthesis class V,Hyperphosphatasia with mental retardation syndrome 1 (HPMRS1),Ventricular septal defect; Patent foramen ovale
ANKRD11,ankyrin repeat domain-containing protein 11,KBG syndrome,Ventricular septal defect; Atrioventricular septal defect; Aortic stenosis; Mitral regurgitation; Mitral stenosis; Hypoplastic left ventricle; Dysplastic pulmonary valve; Supravalvular pulmonary stenosis; Aortic arch hypoplasia
HRAS,Harvey rat sarcoma viral oncogene homolog,Costello syndrome,Pulmonic stenosis; Hypertrophic cardiomyopathy; Atrial tachycardia; Atrial septal defect; Ventricular septal defect; Bicuspid aortic valve; Mitral stenosis; Supraventricular tachycardia; Prolongation of QT interval; Idiopathic hypertrophic subaortic stenosis
DOCK6,dedicator of cytokinesis 6,Adams-Oliver syndrome,Atrial septal defect; Ventricular septal defect; Patent ductus arteriosus; Pulmonary hypertension; Bicuspid aortic valve; Right ventricular hypertrophy; Tetralogy of Fallot; Hypoplastic aortic arch; Pulmonary artery stenosis; Hypoplastic vena cava; Absent left superior vena cava
ZMYND8,zinc finger MYND-type containing 8,Autosomal dominant neurodevelopmental disorder with cardiac malformations,Patent ductus arteriosus; Ventricular septal defect; Atrial septal defect; Double outlet right ventricle; Pulmonary stenosis; Right aortic arch; Agenesis of the pulmonary artery; Patent foramen ovale
NOTCH2,notch receptor 2,Alagille syndrome; Hajdu-Cheney syndrome,Peripheral pulmonic stenosis; Atrial septal defect; Tetralogy of Fallot
JAG1,jagged1,Alagille syndrome; Familial Tetralogy of Fallot,Tetralogy of Fallot (classic and variants); Ventricular septal defect with aortic dextroposition; Peripheral pulmonic stenosis; Pulmonic stenosis; Pulmonic atresia; Absent pulmonary valve; Branch pulmonary artery hypoplasia; Atrial septal defect (in mild forms)
FOXH1,forkhead box H1,Congenital heart defects; Holoprosencephaly,Tetralogy of Fallot; Double outlet right ventricle; Transposition of the great arteries; Atrioventricular canal; Interrupted aortic arch; Truncus arteriosus
PLXND1,plexin D1,Common arterial trunk (truncus arteriosus); Other cardiac malformations,Common arterial trunk; Anomalous pulmonary venous return; Interrupted aortic arch; Right aortic arch; Hypoplastic left heart; Single ventricle; Single outlet artery
KANSL1,KAT8 regulatory NSL complex subunit 1,Koolen-de Vries syndrome (17q21.31 microdeletion syndrome),Atrial septal defect; Ventricular septal defect; Pulmonary stenosis; Aortic stenosis; Bicuspid aortic valve; Patent ductus arteriosus; Mitral valve prolapse; Dilated aortic root; Common left pulmonary vein; Doubly committed ventricular septal defect; Anomalous right subclavian artery; Patent foramen ovale; Mitral insufficiency
ZFPM2,"zinc finger protein, FOG family member 2",Conotruncal heart defect (CTD),Tetralogy of Fallot (TOF); Double-outlet right ventricle (DORV); Transposition of the great artery (TGA)
KMT2A,lysine methyltransferase 2A,Wiedemann-Steiner syndrome,Patent foramen ovale (PFO); Atrial septal defect (ASD); Patent ductus arteriosus (PDA)
CFC1,Cryptic,"Heterotaxy, visceral, 2; Congenital heart disease",Atrial septal defect type II; Ventricular septal defect; Transposition of the great arteries; Double-outlet right ventricle; Pulmonary atresia; Tricuspid valve defect; Tetralogy of Fallot; Common atrioventricular canal; Pulmonary stenosis; Aortic coarctation; Patent ductus arteriosus; Hypoplastic left heart syndrome; Total anomalous pulmonary venous return; Partial anomalous venous drainage
CHD7,chromodomain helicase DNA-binding protein 7,CHARGE syndrome,Atrial septal defect; Ventricular septal defect; Patent ductus arteriosus; Tetralogy of Fallot; Complete atrioventricular canal; Partial atrioventricular canal; Coarctation of the aorta; Pulmonary atresia; Aortic arch anomalies; Common brachiocephalic trunk; Left ventricular outflow tract obstructive lesions; Transposition of the great arteries; Double outlet right ventricle; Total anomalous pulmonary venous return
SMG9,"SMG9, nonsense mediated mRNA decay factor","SMG9-deficiency syndrome (Heart and brain malformation syndrome, OMIM #616920)",Ventricular septal defect; Bicuspid aortic valve; Aortic dilatation; Interrupted aortic arch (reported in previous cases); Hypoplastic tricuspid and aortic valves (reported in previous cases); Atrioventricular septal defect (observed in mouse model)
PRKACA,protein kinase cAMP-activated catalytic subunit alpha,Multiple congenital malformation syndrome,Atrioventricular septal defect; Common atrium
